cos_day,rh_7d,rh_3d,RH2M,rh_lag_2,rh_lag_7,high_humidity,WS10M,wind_3d,sin_day,rh_lag_3,rain_14d,T2M,temp_lag_7,rain_lag_3,PRECTOTCORR,rain_3d,rain_7d,temp_range,rain_lag_1,month,date,target_3d,target_5d,target_7d,target_score_5d
-0.9497178427914316,85.09857142857143,85.27666666666664,87.81,84.0,86.38,1,9.26,10.38,-0.3131070409358267,83.58,57.33999999999999,27.6,28.06,5.12,5.13,10.41000000000001,26.58999999999995,0.4200000000000017,2.92,7,2023-07-20,1.0,1.0,1.0,0.9440520675070831
-0.9441875088341994,84.91999999999999,86.10666666666664,86.49,84.02,87.74,1,9.49,9.913333333333332,-0.3294084822245302,84.0,45.85999999999999,27.73,27.93,2.36,3.31,11.36000000000001,21.429999999999943,0.5,5.13,7,2023-07-21,1.0,1.0,1.0,0.9458013386441096
-0.9383773917408642,85.44571428571429,87.64333333333332,88.63,87.81,84.95,1,10.24,9.663333333333332,-0.3456123126707333,84.02,52.28999999999999,27.29,28.15,2.92,8.02,16.460000000000008,28.09999999999995,0.629999999999999,3.31,7,2023-07-22,1.0,1.0,1.0,0.940578162854679
-0.9322892131745134,86.07428571428571,87.7033333333333,87.99,86.49,83.59,1,11.32,10.35,-0.3617137307297674,87.81,58.83999999999999,27.41,28.33,5.13,7.37,18.70000000000001,34.22999999999995,0.5199999999999996,8.02,7,2023-07-23,1.0,1.0,1.0,0.9374984601486468
-0.92592477719385,86.48428571428572,87.68999999999998,86.45,88.63,83.58,1,10.9,10.82,-0.3777079652039646,86.49,61.31999999999999,27.57,28.24,3.31,3.02,18.410000000000007,32.12999999999995,0.1500000000000021,7.37,7,2023-07-24,1.0,1.0,1.0,0.9285426846795056
-0.9192859697186104,86.70285714285716,86.65666666666664,85.53,87.99,84.0,1,9.85,10.689999999999998,-0.3935902766564664,88.63,66.71999999999998,27.68,28.0,8.02,5.99,16.38000000000001,35.75999999999995,0.2899999999999991,3.02,7,2023-07-25,1.0,1.0,1.0,0.920326037859812
-0.9123747579707274,87.13714285714286,86.34666666666665,87.06,86.45,84.02,1,9.79,10.179999999999998,-0.4093559588156211,87.99,69.88999999999999,27.58,28.0,7.37,4.34,13.350000000000009,37.17999999999995,0.4499999999999993,5.99,7,2023-07-26,1.0,1.0,1.0,0.9175296678027348
-0.9051931898913976,86.5942857142857,85.53333333333332,84.01,85.53,87.81,1,9.31,9.65,-0.4250003399695539,86.45,59.52999999999999,27.79,27.6,3.02,0.89,11.22000000000001,32.939999999999955,0.5100000000000016,4.34,7,2023-07-27,1.0,1.0,1.0,0.9106188149303986
-0.8977433935342336,86.4542857142857,85.52666666666664,85.51,87.06,86.49,1,8.91,9.336666666666666,-0.4405187843504952,85.53,51.86999999999999,27.63,27.73,5.99,0.81,6.040000000000009,30.43999999999995,0.2800000000000011,0.89,7,2023-07-28,1.0,1.0,1.0,0.905395639140968
-0.8900275764346766,85.74428571428572,84.39333333333332,83.66,84.01,88.63,1,9.39,9.203333333333331,-0.455906693508459,87.06,51.26999999999999,27.68,27.29,4.34,0.75,2.450000000000009,23.169999999999952,0.3500000000000014,0.81,7,2023-07-29,1.0,1.0,1.0,0.904434771896686
-0.8820480249558535,85.39428571428572,84.90333333333332,85.54,85.51,87.99,1,9.08,9.126666666666663,-0.4711595076738639,84.01,50.72999999999998,27.55,27.41,0.89,0.7,2.2600000000000087,16.49999999999995,0.2000000000000028,0.75,7,2023-07-30,1.0,1.0,1.0,0.903646368003942
-0.8738071036110807,85.14285714285714,84.62999999999998,84.69,83.66,86.45,1,9.75,9.406666666666666,-0.4862727071086902,85.51,46.35999999999999,27.67,27.57,0.81,0.75,2.2000000000000086,14.22999999999995,0.2800000000000011,0.7,7,2023-07-31,1.0,1.0,1.0,0.9030304274627354
-0.8653072543632061,84.85000000000001,84.57,83.48,85.54,85.53,1,10.03,9.62,-0.5012418134457756,83.66,44.37999999999999,27.72,27.68,0.75,0.38,1.8300000000000087,8.61999999999995,0.5899999999999999,0.75,8,2023-08-01,1.0,1.0,1.0,0.9027717324354289
-0.8565509959010037,84.17571428571429,83.50333333333332,82.34,84.69,87.06,1,9.96,9.913333333333332,-0.5160623910158526,85.54,41.55999999999999,27.76,27.58,0.7,0.1,1.2300000000000089,4.37999999999995,0.3499999999999978,0.38,8,2023-08-02,1.0,1.0,1.0,0.9022050671375188
-0.8475409228928312,83.99000000000001,82.84333333333332,82.71,83.48,84.01,1,10.39,10.126666666666663,-0.5307300481619331,84.69,36.53999999999999,27.75,27.79,0.75,0.11,0.5900000000000089,3.5999999999999504,0.4100000000000001,0.1,8,2023-08-03,1.0,1.0,1.0,0.9020202849751572
